t	N	S	f197536	f197553	f205457	f205440	f197537
704	2492	84	0	0	0	0	0
705	2491	83	0	0	0	0	0
706	2509	80	0	0	0	0	0
707	2502	84	0	0	0	0	0
708	2490	76	0	0	0	0	0
709	2507	84	0	0	0	0	0
710	2519	85	0	0	0	0	0
711	2495	80	0	0	0	0	0
712	2539	86	0	0	0	0	0
713	2526	71	0	0	0	0	0
714	2524	85	0	0	0	0	0
715	2504	87	0	0	0	0	0
716	2476	89	0	0	0	0	0
717	2457	90	0	0	0	0	0
718	2503	77	0	0	0	0	0
719	2478	83	0	0	0	0	0
720	2489	70	0	0	0	0	0
721	2469	87	0	0	0	0	0
722	2495	77	0	0	0	0	0
723	2494	83	0	0	0	0	0
724	2486	79	0	0	0	0	0
725	2475	96	0	0	0	0	0
726	2518	88	0	0	0	0	0
727	2511	88	0	0	0	0	0
728	2511	86	0	0	0	0	0
729	2516	83	0	0	0	0	0
730	2506	79	0	0	0	0	0
731	2529	78	0	0	0	0	0
732	2488	86	0	0	0	0	0
733	2504	82	0	0	0	0	0
734	2512	86	0	0	0	0	0
735	2547	92	0	0	0	0	0
736	2554	83	0	0	0	0	0
737	2521	78	0	0	0	0	0
738	2499	80	0	0	0	0	0
739	2508	80	0	0	0	0	0
740	2529	74	0	0	0	0	0
741	2521	83	0	0	0	0	0
742	2478	89	0	0	0	0	0
743	2463	87	0	0	0	0	0
744	2378	92	0	0	0	0	0
745	1565	86	0	0	0	0	0
746	1054	82	0	0	0	0	0
747	552	50	0	0	0	0	0
748	274	35	0	0	0	0	0
749	219	30	0	0	0	0	0
750	176	29	0	0	0	0	0
751	161	29	0	0	0	11	0
752	367	42	0	0	0	79	0
753	1141	83	0	0	2	467	0
754	1150	88	0	0	17	395	0
755	1260	98	0	0	408	332	0
756	911	100	0	0	198	136	0
757	963	105	0	0	170	190	0
758	1169	108	0	0	363	210	0
759	1180	97	0	0	399	193	0
760	802	81	0	0	183	87	0
761	878	79	0	0	216	100	0
762	488	62	0	0	67	27	0
763	972	86	0	0	247	129	0
764	699	83	0	0	102	95	0
765	1230	101	0	0	398	231	0
766	979	92	0	0	262	138	0
767	833	79	0	0	193	92	0
768	795	72	0	0	172	85	0
769	490	66	0	0	66	36	0
770	862	81	0	0	210	95	0
771	603	62	0	0	99	45	0
772	676	87	22	0	131	45	0
773	1090	110	171	0	338	99	1
774	1227	94	467	0	295	141	3
775	1250	90	540	0	282	162	5
776	1254	88	555	0	293	155	2
777	1251	90	555	0	286	157	9
778	1255	87	563	0	281	163	2
779	1245	72	577	0	272	160	7
780	1263	75	586	0	296	160	11
781	1273	71	586	0	286	168	6
782	1249	79	556	0	274	163	5
783	1279	76	597	0	287	172	5
784	1272	78	581	0	283	171	6
785	1282	81	589	0	277	179	3
786	1292	79	594	0	285	183	2
787	1262	73	557	0	295	164	6
788	1255	76	561	0	293	155	5
789	1273	78	570	0	273	175	4
790	1274	80	575	0	284	169	7
791	1293	79	603	0	291	173	7
792	1280	72	592	0	300	165	9
793	1250	77	577	0	285	160	8
794	1260	86	575	0	285	164	9
795	1281	85	594	0	297	169	7
796	1281	77	591	0	289	172	7
797	1273	79	583	0	279	172	5
798	1275	76	585	0	293	169	6
799	1275	83	570	0	287	172	7
800	1268	77	566	0	292	169	8
801	1278	72	593	0	298	169	4
802	1306	71	595	0	298	181	5
803	1286	73	597	0	296	175	5
804	1297	75	602	9	291	180	4
805	1258	87	480	164	247	144	3
806	1131	84	295	364	164	93	10
807	1127	84	306	362	164	89	9
808	1123	88	286	365	169	90	10
809	1125	75	296	380	154	92	11
810	1131	93	296	367	165	88	7
811	1131	87	293	360	165	91	5
812	1110	91	280	357	168	82	4
813	1119	94	286	360	160	89	9
814	1111	93	289	360	156	87	10
815	1131	98	295	370	156	94	3
816	1153	85	300	369	184	92	2
817	1139	81	288	386	173	90	3
818	1127	86	288	370	170	90	3
